식품코드,식품명,데이터구분코드,데이터구분명,식품기원코드,식품기원명,식품대분류코드,식품대분류명,대표식품코드,대표식품명,식품중분류코드,식품중분류명,식품소분류코드,식품소분류명,식품세분류코드,식품세분류명,영양성분함량기준량,에너지(kcal),수분(g),단백질(g),지방(g),회분(g),탄수화물(g),당류(g),식이섬유(g),칼슘(mg),철(mg),인(mg),칼륨(mg),나트륨(mg),비타민 A(μg RAE),레티놀(μg),베타카로틴(μg),티아민(mg),리보플라빈(mg),니아신(mg),비타민 C(mg),비타민 D(μg),콜레스테롤(mg),포화지방산(g),트랜스지방산(g),폐기율(%),수입여부
R102-006150049-0000,고구마_분질(밤) 고구마_찐것,R,원재료성 식품,1,식물성,2,감자 및 전분류,2006,고구마,200615,분질(밤) 고구마,20061500,해당없음,49,찐것,100g,169,56.8,1.07,0.15,1.06,40.9,13.02,4.2,17.0,0.42,47.0,461.0,7.0,3.0,0.0,37.0,0.06,0.025,0.455,15.36,0.0,0.0,0.06,0.0,,N
R102-006150050-0000,고구마_분질(밤) 고구마_구운것,R,원재료성 식품,1,식물성,2,감자 및 전분류,2006,고구마,200615,분질(밤) 고구마,20061500,해당없음,50,구운것,100g,189,51.7,1.01,0.16,1.17,45.94,14.95,4.8,17.0,0.56,54.0,431.0,10.0,3.0,0.0,39.0,0.075,0.037,0.363,6.44,0.0,0.0,0.06,0.0,7.0,N
R102-006160001-0000,고구마_점질(호박) 고구마_생것,R,원재료성 식품,1,식물성,2,감자 및 전분류,2006,고구마,200616,점질(호박) 고구마,20061600,해당없음,1,생것,100g,141,63.9,1.17,0.2,0.96,33.81,9.83,2.0,21.0,0.52,55.0,379.0,8.0,75.0,0.0,896.0,0.086,0.034,0.756,14.49,0.0,0.0,0.06,0.0,11.0,N
R102-006160049-0000,고구마_점질(호박) 고구마_찐것,R,원재료성 식품,1,식물성,2,감자 및 전분류,2006,고구마,200616,점질(호박) 고구마,20061600,해당없음,49,찐것,100g,157,59.9,1.1,0.15,0.94,37.91,14.48,3.5,23.0,0.46,57.0,394.0,5.0,46.0,0.0,553.0,0.108,0.031,0.48,30.62,0.0,0.0,0.05,0.0,,N
R102-006160050-0000,고구마_점질(호박) 고구마_구운것,R,원재료성 식품,1,식물성,2,감자 및 전분류,2006,고구마,200616,점질(호박) 고구마,20061600,해당없음,50,구운것,100g,186,52.5,1.25,0.16,1.11,45.02,23.21,3.7,21.0,0.66,63.0,459.0,9.0,66.0,0.0,786.0,0.132,0.051,0.432,14.49,0.0,0.0,0.06,0.0,12.0,N
R102-006177201-0000,고구마_베니하루까_껍질제거_생것,R,원재료성 식품,1,식물성,2,감자 및 전분류,2006,고구마,200617,베니하루까,20061772,껍질 제거,1,생것,100g,147,62.7,1.03,0.45,0.91,34.91,7.08,2.8,23.0,0.55,57.0,359.0,13.0,0.0,0.0,0.0,0.085,0.02,0.139,44.82,,0.0,0.04,0.0,14.0,N
R102-007010002-0000,당면_고구마_말린것,R,원재료성 식품,1,식물성,2,감자 및 전분류,2007,당면,200701,고구마,20070100,해당없음,2,말린것,100g,358,10.7,0.08,0.07,0.4,88.75,0.0,1.7,98.0,4.69,15.0,2.0,8.0,0.0,0.0,0.0,0.0,0.0,0.017,0.06,0.0,0.0,0.04,0.0,0.0,N
R102-007010046-0000,당면_고구마_삶은것,R,원재료성 식품,1,식물성,2,감자 및 전분류,2007,당면,200701,고구마,20070100,해당없음,46,삶은것,100g,123,69.4,0.03,0.04,0.15,30.38,0.0,1.4,35.0,1.58,4.0,2.0,3.0,0.0,0.0,0.0,0.0,0.131,0.0,0.06,0.0,0.0,0.02,0.01,0.0,N
R102-007020002-0000,당면_고구마+감자_말린것,R,원재료성 식품,1,식물성,2,감자 및 전분류,2007,당면,200702,고구마+감자,20070200,해당없음,2,말린것,100g,346,12.9,0.0,0.2,0.3,86.6,0.0,1.2,41.0,0.4,46.0,14.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,N
R102-009000006-0000,곤약(구약나물)_분말화한것,R,원재료성 식품,1,식물성,2,감자 및 전분류,2009,곤약(구약나물),200900,해당없음,20090000,해당없음,6,분말화한것,100g,194,6.0,3.0,0.1,5.6,85.3,,79.9,57.0,2.1,160.0,3000.0,18.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,N
R102-009020001-0000,곤약(구약나물)_판형_생것,R,원재료성 식품,1,식물성,2,감자 및 전분류,2009,곤약(구약나물),200902,판형,20090200,해당없음,1,생것,100g,6,96.7,0.12,0.01,0.11,3.06,0.0,2.4,67.0,0.11,3.0,13.0,2.0,0.0,0.0,0.0,0.0,0.09,0.002,0.1,0.0,0.0,0.01,0.0,0.0,N
R102-010000001-0000,돼지감자_생것,R,원재료성 식품,1,식물성,2,감자 및 전분류,2010,돼지감자,201000,해당없음,20100000,해당없음,1,생것,100g,35,81.4,2.18,0.09,1.41,14.92,6.37,1.8,17.0,0.53,100.0,561.0,2.0,0.0,0.0,0.0,0.044,0.088,0.472,1.34,0.0,0.0,0.02,0.0,12.0,N
R102-010000002-0000,돼지감자_말린것,R,원재료성 식품,1,식물성,2,감자 및 전분류,2010,돼지감자,201000,해당없음,20100000,해당없음,2,말린것,100g,172,9.2,10.43,0.46,5.56,74.35,11.64,9.9,87.0,3.49,474.0,2375.0,10.0,0.0,0.0,0.0,0.425,1.36,2.699,7.11,0.0,0.0,0.11,0.01,0.0,N
R102-010000046-0000,돼지감자_삶은것,R,원재료성 식품,1,식물성,2,감자 및 전분류,2010,돼지감자,201000,해당없음,20100000,해당없음,46,삶은것,100g,39,79.3,2.23,0.11,1.2,17.16,0.0,2.0,20.0,0.63,107.0,533.0,2.0,0.0,0.0,5.0,0.042,0.081,0.117,2.77,0.0,0.0,0.02,0.0,12.0,N
