food_code,food_name,data_pid,data_pid_name,serving_size(g),calorie_kcal,carbohydrate_g,protein_g,fat_g,sugar_g,saturated_fat_g,trans_fat_g,sodium_mg,cholesterol_mg,dietary_fiber_g,vitamin_a_μg,vitamin_c_mg,vitamin_d_ug,calcium_mg,iron_mg
R211-043011601-0012,"넙치류_넙치(광어)_암컷,육_생것_대표_12월",R,원재료성 식품,100.0,132,0.0,23.0,3.68,,,,,,,,,,,
R211-043011601-0008,"넙치류_넙치(광어)_암컷,육_생것_대표_8월",R,원재료성 식품,100.0,142,0.0,22.92,4.76,,,,,,,,,,,
R211-043011601-0009,"넙치류_넙치(광어)_암컷,육_생것_대표_9월",R,원재료성 식품,100.0,140,0.0,22.27,4.9,,,,,,,,,,,
R211-043014050-0899,넙치류_넙치(광어)_육_구운것_통영_3월,R,원재료성 식품,100.0,194,1.26,35.67,4.11,,,,,,,,,,,
R211-043014002-0899,넙치류_넙치(광어)_육_말린것_통영_3월,R,원재료성 식품,100.0,422,0.8,81.0,8.15,,,,,,,,,,,
R211-043014001-0012,넙치류_넙치(광어)_육_생것_대표_12월,R,원재료성 식품,100.0,125,0.0,22.67,3.15,,,,,,,,,,,
R211-043014001-0006,넙치류_넙치(광어)_육_생것_대표_6월,R,원재료성 식품,100.0,137,1.03,22.44,4.03,,,,,,,,,,,
R211-043014001-0000,넙치류_넙치(광어)_육_생것_대표_평균,R,원재료성 식품,100.0,139,0.0,22.36,3.28,0.0,0.45,0.03,49.0,,0.0,,,4.32,61.0,0.45
R211-043014001-0757,넙치류_넙치(광어)_육_생것_여수_4월,R,원재료성 식품,100.0,89,0.0,19.85,0.6,,,,,,,,,,,
R211-043014001-0759,넙치류_넙치(광어)_육_생것_여수_6월,R,원재료성 식품,100.0,109,0.27,20.9,2.1,0.27,,,,,0.0,,1.0,,21.0,0.63
R211-043014049-0899,넙치류_넙치(광어)_육_찐것_통영_3월,R,원재료성 식품,100.0,137,0.0,25.5,3.11,,,,,,,,,,,
R211-043013902-5935,넙치류_넙치(광어)_전체_말린것_수입(미국)_평균,R,원재료성 식품,100.0,111,0.0,22.54,1.61,,0.35,0.03,82.0,60.0,0.0,,0.0,231.0,9.0,0.2
R211-043013902-5155,넙치류_넙치(광어)_전체_말린것_수입(그린란드)_평균,R,원재료성 식품,100.0,239,0.0,18.42,17.74,,3.1,,103.0,59.0,0.0,,0.0,,4.0,0.85
